,Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Draft_Yr,Pk,Team,College,attend_college,conference,FINAL_5Yrs,3PA_Shot,AST_TOV,True_FG%,PPP,FTR,TOV%,Hasst%
10,Elmore Spencer,44,6.4,2.4,1.0,1.9,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1.4,0.2,0.2,0.4,0.6,1.0,1992,25,LAC,"University of Nevada, Las Vegas",1,0,1,0,0.33333333333333337,58.4225900681597,0.8547008547008548,36.84210526315789,21.36752136752137,6.595218466611706
11,Randy Woods,41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1.0,0.3,0.0,0.4,0.0,1992,16,LAC,La Salle University,1,0,0,1,2.5,49.07621247113163,0.7508833922261483,37.49999999999999,17.667844522968196,30.441400304414007
12,Billy Owens,80,31.4,14.3,5.9,11.1,52.5,0.0,0.1,11.1,2.6,3.9,65.4,3.0,5.0,8.0,2.4,1.1,0.8,2.2,1.0,1991,3,SAC,Syracuse University,1,1,1,1,1.0909090909090908,59.792607459441385,0.9523175279701653,35.13513513513514,14.651038891848698,13.673265916536106
13,Stacey Augmon,82,30.5,13.3,5.4,11.0,48.9,0.0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,1.0,1991,9,ATL,"University of Nevada, Las Vegas",1,0,1,1,1.1363636363636362,56.08028335301063,0.8916599624564227,35.45454545454545,14.749262536873156,14.24298532972511
14,Mark Macon,76,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73.0,1.1,1.8,2.9,2.2,2.0,0.2,2.0,1.0,1991,8,DEN,Temple University,1,0,1,1,1.1,43.343146876022246,0.7183518568717809,20.51282051282051,13.553808620222282,12.910798122065728
15,Mitch McGary,32,15.2,6.3,2.8,5.2,53.3,0.0,0.1,0.0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1.0,0.0,2014,21,OKC,University of Michigan,1,1,0,1,0.4,57.418884433102434,0.9303012404016539,25.0,14.766686355581808,5.542085209560097
16,Mike Iuzzolino,52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0.0,1.8,0.0,1991,35,DAL,Saint Francis University,1,0,0,1,2.055555555555556,63.26530612244898,0.9587628865979381,36.76470588235294,18.556701030927833,27.43280815569972
17,Doug Smith,76,22.5,8.8,3.8,9.2,41.5,0.0,0.1,0.0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,1.0,1991,6,DAL,University of Missouri,1,1,1,1,1.3076923076923077,46.06365159128979,0.7854337736522671,17.39130434782609,11.602998928953944,13.117283950617283
18,Donald Hodge,51,20.7,8.4,3.2,6.4,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,1.0,1991,33,DAL,Temple University,1,0,1,0,0.5333333333333333,59.67604433077579,0.9154315605928509,45.31249999999999,16.346992153443765,7.938476804763087
19,Dale Davis,64,20.3,6.2,2.4,4.4,55.2,0.0,0.0,0.0,1.4,2.4,57.2,2.5,3.9,6.4,0.5,0.4,1.2,0.8,1.0,1991,13,IND,Clemson University,1,1,1,0,0.625,62.90584415584415,0.9910485933503836,54.54545454545454,12.787723785166241,7.309941520467836
20,Stanley Roberts,55,20.3,10.4,4.3,8.1,52.9,0.0,0.0,0.0,1.8,3.6,51.5,2.1,4.1,6.1,0.7,0.4,1.5,1.4,1.0,1991,23,ORL,Louisiana State University,1,1,1,0,0.5,58.4795321637427,0.9382894261999278,44.44444444444445,12.630819198845181,5.877413937867339
21,Terrell Brandon,82,19.6,7.4,3.1,7.3,41.9,0.0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2.0,3.9,1.0,0.3,1.7,1.0,1991,11,CLE,University of Oregon,1,1,1,1,2.2941176470588234,48.492791612057665,0.7660455486542443,20.547945205479454,17.598343685300204,28.650137741046834
22,Bison Dele,48,18.9,9.1,3.6,6.8,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,1.0,1991,10,ORL,University of Arizona,1,1,1,0,0.38888888888888884,60.991957104557635,0.9173387096774194,44.11764705882353,18.14516129032258,6.526806526806526
23,Spencer Dinwiddie,34,13.4,4.3,1.5,5.0,30.2,0.4,1.9,18.5,0.9,1.0,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1.0,0.0,2014,38,DET,University of Colorado,1,1,1,1,3.1,41.18773946360153,0.6677018633540373,20.0,15.527950310559005,32.375979112271544
24,Greg Anthony,82,18.4,5.5,2.0,5.3,37.0,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,1.0,1991,12,NYK,"University of Nevada, Las Vegas",1,0,1,1,3.1666666666666665,48.09373906960476,0.7497273718647764,35.84905660377358,16.357688113413303,33.92099977683553
25,Kenny Anderson,64,17.0,7.0,2.9,7.5,39.0,0.0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2.0,3.2,1.1,0.1,1.5,1.0,1991,2,NJN,Georgia Institute of Technology,1,1,1,1,2.1333333333333333,44.699872286079184,0.7246376811594203,20.0,15.527950310559005,24.78218780251694
26,Victor Alexander,80,16.9,7.4,3.0,5.7,52.9,0.0,0.0,0.0,1.3,1.9,69.1,1.3,2.9,4.2,0.4,0.6,0.8,1.1,1.0,1991,17,GSW,Iowa State University,1,1,1,0,0.36363636363636365,60.47728015691403,0.969093766369827,33.33333333333333,14.405447878470405,4.9367479173094715
27,Kevin Lynch,55,14.9,4.1,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1.0,1.5,1.5,0.7,0.2,0.8,0.0,1991,28,NOH,University of Minnesota,1,1,0,1,1.875,47.94200187090738,0.7806549885757806,19.512195121951223,15.232292460015234,22.123893805309734
28,LaBradford Smith,48,14.8,5.1,2.1,5.1,40.7,0.0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,2.1,0.9,0.0,1.3,0.0,1991,19,WAS,University of Louisville,1,1,0,1,1.6153846153846154,47.53914988814317,0.7361431870669746,23.52941176470588,18.76443418013857,23.153252480705625
29,Chris Corchiani,51,14.5,5.0,1.5,3.8,39.9,0.2,0.7,27.0,1.8,2.0,87.5,0.4,1.2,1.5,2.8,0.9,0.0,1.4,0.0,1991,36,ORL,North Carolina State University,1,1,0,1,2.0,58.96226415094339,0.8223684210526315,52.63157894736842,23.026315789473685,31.28491620111732
30,Pete Chilcutt,69,11.8,3.6,1.6,3.6,45.2,0.0,0.0,100.0,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,1.0,1991,27,SAC,University of North Carolina,1,1,1,0,1.0,48.80694143167028,0.8226691042047531,11.111111111111112,13.711151736745887,12.024048096192386
31,Chris Gatling,54,11.3,5.7,2.2,3.8,56.8,0.0,0.1,0.0,1.3,2.0,66.1,1.4,2.0,3.4,0.3,0.6,0.7,0.8,1.0,1991,16,GSW,Old Dominion University,1,0,1,1,0.37499999999999994,67.21698113207547,1.04014598540146,52.63157894736842,14.598540145985403,5.128205128205128
32,Eric Murdock,50,9.6,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1.0,1.0,1991,21,UTA,Providence College,1,0,1,1,1.8,51.71543895055498,0.7842387146136189,32.43243243243243,19.12777352716144,25.459688826025463
33,Randy Brown,56,9.6,3.4,1.4,3.0,45.6,0.0,0.1,0.0,0.7,1.0,65.5,0.5,0.8,1.2,1.1,0.6,0.2,0.8,1.0,1991,31,SAC,New Mexico State University,1,0,1,1,1.375,52.79503105590062,0.8018867924528301,33.33333333333333,18.867924528301888,20.46511627906977
34,Greg Sutton,67,9.0,3.7,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,1.4,0.4,0.1,1.0,0.0,1991,49,SAS,Oral Roberts University,1,0,0,1,1.4,49.280767181672886,0.7538712306438469,19.444444444444443,20.374898125509375,22.10817212791157
35,Elliot Perry,50,8.7,2.5,1.0,2.6,38.0,0.0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1.0,1.0,1991,37,LAC,University of Memphis,1,0,1,1,1.6,45.02881844380403,0.6325910931174089,30.76923076923077,25.303643724696357,28.673835125448026
36,Rodney Monroe,38,8.2,3.4,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.7,0.3,0.1,0.6,0.0,1991,30,ATL,North Carolina State University,1,1,0,1,1.1666666666666667,43.23499491353001,0.7289879931389366,15.789473684210526,12.864493996569468,12.999071494893222
37,John Turner,42,8.2,2.8,1.0,2.3,43.9,0.0,0.0,0.0,0.7,1.4,52.5,0.9,1.0,1.9,0.3,0.1,0.1,0.8,0.0,1991,20,HOU,Phillips University,1,0,0,0,0.37499999999999994,53.68098159509203,0.7534983853606028,60.86956521739131,21.52852529601722,7.380073800738007
38,Mark Randall,54,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,0.0,1991,26,CHI,University of Kansas,1,1,0,1,1.2,53.76344086021506,0.8762322015334065,28.571428571428577,13.691128148959475,14.018691588785048
39,Sean Green,35,7.3,4.0,1.8,4.5,39.2,0.1,0.3,20.0,0.4,0.8,53.6,0.6,0.6,1.2,0.6,0.4,0.2,0.8,0.0,1991,41,IND,Iona College,1,0,0,1,0.7499999999999999,42.7715996578272,0.7077140835102619,17.77777777777778,14.154281670205238,9.554140127388536
40,Kevin Brooks,37,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81.0,0.4,0.7,1.1,0.3,0.2,0.1,0.5,0.0,1991,18,MIL,University of Louisiana at Lafayette,1,0,0,1,0.6,51.244509516837475,0.8323424494649226,23.076923076923077,14.863258026159334,8.141112618724557
41,Doug Lee,46,6.7,2.6,1.1,2.5,43.1,0.2,0.8,27.0,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0.0,0.3,0.0,1987,35,HOU,Purdue University,1,1,0,1,1.6666666666666667,50.23183925811438,0.8736559139784946,16.0,10.080645161290322,14.326647564469916
42,Rich King,40,5.3,2.2,0.7,1.8,38.0,0.0,0.0,0.0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,0.0,1991,14,OKC,University of Nebraska,1,1,0,0,0.6,53.86875612144956,0.7902298850574713,61.111111111111114,17.95977011494253,9.607686148919136
43,Lionel Simmons,79,37.7,18.0,6.9,16.5,42.2,0.0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,8.8,4.0,1.4,1.1,2.9,1.0,1990,7,SAC,La Salle University,1,0,1,1,1.3793103448275863,50.81874647092038,0.8249312557286893,33.33333333333333,13.290559120073326,15.377222489187892
44,Gary Harris,55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,0.0,2014,19,CHI,Michigan State University,1,1,1,1,0.7142857142857143,41.48365056124939,0.6805444355484387,23.076923076923077,14.011208967173735,9.045680687471732
45,Derrick Coleman,74,35.2,18.4,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6.0,73.1,3.6,6.6,10.3,2.2,1.0,1.3,2.9,1.0,1990,1,NJN,Syracuse University,1,1,1,1,0.7586206896551725,56.72009864364982,0.9001956947162427,40.26845637583892,14.187866927592957,9.628008752735232
46,Travis Mays,64,33.5,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4.0,5.2,77.0,0.8,1.9,2.8,4.0,1.3,0.2,2.5,0.0,1990,14,SAC,University of Texas at Austin,1,0,0,1,1.6,57.45740919318547,0.8888612630532073,46.017699115044245,15.539532570860267,19.73359644795264
47,Dennis Scott,82,28.5,15.7,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75.0,0.8,2.1,2.9,1.6,0.8,0.3,1.6,1.0,1990,4,ORL,Georgia Institute of Technology,1,1,1,1,1.0,52.508361204013376,0.9181286549707601,17.36111111111111,9.35672514619883,8.516300731869594
48,Felton Spencer,81,25.9,7.1,2.4,4.7,51.2,0.0,0.0,0.0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,1.0,1990,6,MIN,University of Louisville,1,1,1,0,0.3333333333333333,65.96060943887029,1.0195290063182079,65.95744680851064,12.92360712234348,4.0691759918616475
51,Kendall Gill,82,23.7,11.0,4.6,10.2,45.0,0.0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,3.2,3.7,1.3,0.5,2.0,1.0,1990,5,NOH,University of Illinois at Urbana-Champaign,1,1,1,1,1.85,51.47884687383003,0.8353584447144593,21.568627450980397,15.188335358444716,21.835349660666864
52,Duane Causwell,76,22.6,6.9,2.8,5.4,50.8,0.0,0.0,0.0,1.4,2.2,63.6,1.9,3.3,5.1,0.9,0.6,1.9,1.3,1.0,1990,18,SAC,Temple University,1,0,1,0,0.6923076923076923,58.63358259687288,0.8998435054773083,40.74074074074075,16.95357329160146,10.410641989589358
53,Mahmoud Abdul-Rauf,67,22.5,14.1,6.2,15.1,41.3,0.4,1.5,24.0,1.3,1.5,85.7,0.5,1.3,1.8,3.1,0.8,0.1,1.6,1.0,1990,3,DEN,Louisiana State University,1,1,1,1,1.9375,45.69021386908619,0.8122119815668203,9.933774834437086,9.216589861751153,15.11273613650213
54,A.J. English,70,20.6,8.8,3.6,8.2,43.9,0.0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,2.5,0.4,0.2,1.6,0.0,1990,37,WAS,Virginia Union University,1,0,0,1,1.5625,50.66789497927223,0.8172362555720655,26.829268292682933,14.858841010401191,18.733608092918697
55,Danny Ferry,81,20.5,8.6,3.4,7.9,42.8,0.3,1.0,29.9,1.5,1.9,81.6,1.2,2.3,3.5,1.8,0.5,0.3,1.5,1.0,1989,2,LAC,Duke University,1,1,1,1,1.2,51.69511901899495,0.8401719421649081,24.050632911392402,14.65416178194607,14.872960132204089
56,Mario Elie,33,19.5,7.2,2.4,4.8,49.7,0.1,0.3,40.0,2.3,2.7,84.3,1.4,1.9,3.3,1.4,0.6,0.3,0.9,1.0,1985,160,MIL,American International College,1,0,1,1,1.5555555555555554,66.74082313681868,1.0452961672473868,56.250000000000014,13.066202090592336,16.701461377870565
57,Anthony Cook,58,19.3,5.3,2.0,4.9,41.7,0.0,0.1,0.0,1.2,2.2,55.0,2.3,3.3,5.6,0.4,0.6,1.2,0.9,0.0,1989,24,PHO,University of Arizona,1,1,0,1,0.4444444444444445,49.21991084695394,0.7830969267139479,44.89795918367347,13.297872340425531,5.521048999309868
58,Gerald Paddio,70,16.9,7.2,3.0,7.2,41.9,0.1,0.3,25.0,1.1,1.3,79.6,0.5,1.1,1.7,1.3,0.3,0.1,1.0,0.0,1988,74,BOS,"University of Nevada, Las Vegas",1,0,0,1,1.3,48.08976756612343,0.8207934336525308,18.055555555555554,11.399908800729595,12.849023968371634
59,Bimbo Coles,82,16.5,4.9,2.0,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,2.8,0.8,0.1,1.2,1.0,1990,40,SAC,Virginia Polytechnic Institute and State University,1,1,1,1,2.3333333333333335,48.380726698262244,0.7506127450980393,25.0,18.38235294117647,29.882604055496266
60,Bo Kimble,62,16.2,6.9,2.6,6.7,38.0,0.3,1.0,29.2,1.5,1.9,77.3,0.7,1.2,1.9,1.2,0.5,0.1,1.2,0.0,1990,8,LAC,Loyola Marymount University,1,0,0,1,1.0,48.468670974992975,0.7898351648351648,28.35820895522388,13.736263736263735,11.997000749812548
61,Alec Kessler,78,16.1,6.2,2.6,6.0,42.5,0.0,0.1,0.0,1.1,1.7,67.2,1.5,2.8,4.3,0.4,0.2,0.3,1.4,0.0,1990,12,HOU,University of Georgia,1,1,0,1,0.28571428571428575,48.63508001255099,0.7609229258713796,28.333333333333332,17.18213058419244,4.647110078419983
62,Loy Vaught,73,16.1,5.5,2.4,4.9,48.7,0.0,0.0,0.0,0.7,1.0,66.2,1.7,3.1,4.8,0.5,0.3,0.3,0.7,1.0,1990,13,LAC,University of Michigan,1,1,1,0,0.7142857142857143,53.7109375,0.9105960264900661,20.40816326530612,11.589403973509931,7.604562737642586
63,Tyrone Hill,74,16.1,5.3,2.0,4.0,49.2,0.0,0.0,0.0,1.3,2.1,63.2,2.1,3.1,5.2,0.3,0.5,0.4,1.0,1.0,1990,11,GSW,Xavier University,1,0,1,0,0.3,59.39040788883909,0.8946657663740715,52.5,16.880486158001347,4.763795156808257
64,Marcus Liberty,76,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,2.9,0.8,0.6,0.3,0.9,0.0,1990,42,DEN,University of Illinois at Urbana-Champaign,1,1,0,1,0.888888888888889,47.42355605889015,0.8142926592124453,17.647058823529413,10.938259601361207,8.820286659316428
65,Terry Mills,55,14.9,5.7,2.4,5.2,46.5,0.0,0.1,0.0,0.9,1.2,71.2,1.5,2.7,4.2,0.6,0.6,0.5,0.8,1.0,1990,16,MIL,University of Michigan,1,1,1,1,0.7499999999999999,52.15959004392386,0.8731617647058825,23.076923076923077,12.254901960784315,8.368200836820083
66,Jerrod Mustaf,62,13.3,4.3,1.7,3.7,46.5,0.0,0.0,0.0,0.9,1.4,64.4,0.8,1.9,2.7,0.6,0.2,0.2,1.0,0.0,1990,17,NYK,University of Maryland,1,1,0,0,0.6,53.64271457085829,0.8088788562829194,37.83783783783783,18.811136192626034,10.05867560771165
67,Kevin Pritchard,62,12.5,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1.0,1.2,80.5,0.3,0.8,1.0,1.3,0.5,0.1,0.9,0.0,1990,34,GSW,University of Kansas,1,1,0,1,1.4444444444444444,49.192734611503525,0.7605304212168487,32.43243243243243,17.550702028081123,20.092735703245747
68,Gerald Glass,51,11.9,6.9,2.9,6.7,43.8,0.0,0.3,11.8,1.0,1.5,68.4,1.1,0.9,2.0,0.8,0.6,0.2,0.8,0.0,1990,20,MIN,University of Mississippi,1,1,0,1,1.0,49.075391180654336,0.8455882352941176,22.388059701492537,9.803921568627452,8.876560332871012
69,Jud Buechler,74,11.6,3.1,1.3,3.1,41.6,0.0,0.1,25.0,0.6,0.9,65.2,0.8,1.1,1.9,0.7,0.5,0.2,0.3,1.0,1990,38,OKC,University of Arizona,1,1,1,1,2.3333333333333335,46.9981807155852,0.8166491043203372,29.03225806451613,7.903055848261328,15.461071231363889
70,Cedric Ceballos,63,11.6,8.2,3.2,6.7,48.7,0.0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.6,0.3,0.1,1.1,1.0,1990,48,PHO,"California State University, Fullerton",1,0,1,1,0.5454545454545454,56.38063806380637,0.9168157423971376,38.80597014925373,12.298747763864043,6.227296315516346
71,Kyle Anderson,33,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.0,2014,30,SAS,"University of California, Los Angeles",1,1,1,1,2.666666666666667,39.45480631276901,0.6926952141057935,14.814814814814813,9.445843828715365,20.050125313283207
72,Greg Foster,54,11.2,4.4,1.8,3.9,46.0,0.0,0.1,0.0,0.8,1.1,68.9,1.0,1.8,2.8,0.7,0.2,0.4,0.8,1.0,1990,35,WAS,University of Texas at El Paso,1,1,1,1,0.8749999999999999,53.11443746982134,0.8487654320987654,28.20512820512821,15.432098765432098,11.81933305192064
73,Brian Oliver,73,11.0,3.8,1.5,3.7,40.8,0.1,0.2,27.8,0.7,1.0,73.2,0.2,0.8,1.1,1.2,0.5,0.1,0.7,0.0,1990,32,PHI,Georgia Institute of Technology,1,1,0,1,1.7142857142857144,48.469387755102034,0.7851239669421486,27.027027027027025,14.462809917355369,19.753086419753085
76,Tate George,56,10.6,3.4,1.4,3.4,41.5,0.0,0.0,0.0,0.6,0.7,80.0,0.3,0.5,0.8,1.9,0.5,0.1,0.8,0.0,1990,22,NJN,University of Connecticut,1,0,0,0,2.3749999999999996,47.833427124366914,0.7542147293700089,20.588235294117645,17.74622892635315,29.537504858142245
77,Steve Henson,68,10.1,3.1,1.2,2.8,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,0.8,1.9,0.5,0.0,0.6,1.0,1990,44,MIL,Kansas State University,1,1,1,1,3.1666666666666665,52.86493860845839,0.8460698689956332,21.42857142857143,16.375545851528383,34.01969561324978
78,Jayson Williams,52,9.8,3.5,1.4,3.1,44.7,0.0,0.0,50.0,0.7,1.1,66.1,0.8,1.3,2.1,0.3,0.2,0.1,0.8,1.0,1990,21,PHO,St. John's University,1,0,1,0,0.37499999999999994,52.363853979652895,0.7983576642335766,35.483870967741936,18.248175182481752,6.3525674960296445
79,Dwayne Schintzius,42,9.5,3.8,1.6,3.7,43.9,0.0,0.0,0.0,0.5,1.0,55.0,0.7,2.2,2.9,0.4,0.1,0.7,0.8,1.0,1990,24,SAS,University of Florida,1,1,1,0,0.5,48.469387755102034,0.7692307692307692,27.027027027027025,16.194331983805668,7.441860465116279
80,Sean Higgins,50,9.3,4.5,1.9,4.2,45.8,0.1,0.4,15.8,0.6,0.7,84.8,0.4,0.9,1.3,0.7,0.2,0.0,1.0,1.0,1990,54,SAS,University of Michigan,1,1,1,1,0.7,51.676619200734955,0.8169934640522876,16.666666666666664,18.155410312273055,11.231448054552747
81,Elden Campbell,52,7.3,2.8,1.1,2.4,45.5,0.0,0.0,0.0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.2,0.7,0.3,1.0,1990,27,LAL,Clemson University,1,1,1,0,0.6666666666666667,53.88760585065435,0.9043927648578812,37.5,9.689922480620156,6.010518407212623
82,Kenny Williams,75,7.0,2.9,1.2,2.4,52.0,0.0,0.0,0.0,0.5,0.7,68.0,0.7,1.0,1.7,0.4,0.1,0.4,0.6,0.0,1990,46,IND,Elizabeth City State University,1,0,0,0,0.6666666666666667,56.77368833202819,0.8766626360338573,29.166666666666668,18.13784764207981,10.71667782987274
83,Scott Williams,51,6.6,2.5,1.0,2.0,51.0,0.0,0.0,50.0,0.4,0.5,71.4,0.8,1.1,1.9,0.3,0.2,0.3,0.5,1.0,1981,154,CHI,University of South Alabama,1,0,1,0,0.6,59.241706161137444,0.9191176470588235,25.0,18.382352941176467,9.876543209876544
84,Steve Scheffler,39,5.8,1.5,0.5,1.0,51.3,0.0,0.0,0.0,0.5,0.5,90.5,0.5,0.6,1.2,0.2,0.1,0.1,0.1,1.0,1990,39,NOH,Purdue University,1,1,1,0,2.0,67.56756756756756,1.1363636363636362,50.0,7.575757575757576,13.008130081300811
85,James Young,31,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.0,2014,17,BOS,University of Kentucky,1,1,0,1,2.0,48.59919954259577,0.8726899383983573,27.272727272727277,5.13347022587269,9.24321201617562
86,J.R. Reid,82,33.6,11.1,4.4,9.9,44.0,0.0,0.1,0.0,2.3,3.5,66.4,2.4,6.0,8.4,1.2,1.1,0.7,2.1,1.0,1989,5,NOH,University of North Carolina,1,1,1,1,0.5714285714285714,52.014995313964384,0.8197932053175775,35.35353535353536,15.5096011816839,8.074011774600505
87,Pooh Richardson,82,31.5,11.4,5.2,11.3,46.1,0.3,1.0,27.7,0.8,1.3,58.9,0.7,2.0,2.6,6.8,1.6,0.3,1.7,1.0,1989,10,MIN,"University of California, Los Angeles",1,1,1,1,4.0,49.19730709476955,0.8399646330680814,11.504424778761061,12.525788387857354,33.30476307089506
